project_name,builder_name,city,county,state,lat,long,attached_detached,unit_size_min,unit_size_max,minprice_1,maxprice_1,status,typicallotsize,sales_rate,sales_rate_last_three_months,total_units_planned,total_units_sold,total_remaining,zip_code,communitytype,master_plan,lot_width_variations,monthly_sales,total_units_remaining,yyyymm
Sorento,D.R. Horton,Pflugerville,Travis,TX,30.442717,-97.561982,Detached,1732,2987,436990,563990,ACTIVE PROJECT,6875,6.45,25.33333333,870,539,331,78660,NULL,NULL,55,3,277,201901
Sorento,D.R. Horton,Pflugerville,Travis,TX,30.442717,-97.561982,Detached,1732,2987,436990,563990,ACTIVE PROJECT,6875,6.45,25.33333333,870,539,331,78660,NULL,NULL,55,3,274,201902
Sorento,D.R. Horton,Pflugerville,Travis,TX,30.442717,-97.561982,Detached,1732,2987,436990,563990,ACTIVE PROJECT,6875,6.45,25.33333333,870,539,331,78660,NULL,NULL,55,7,267,201903
Sorento,D.R. Horton,Pflugerville,Travis,TX,30.442717,-97.561982,Detached,1732,2987,436990,563990,ACTIVE PROJECT,6875,6.45,25.33333333,870,539,331,78660,NULL,NULL,55,7,260,201904
Sorento,D.R. Horton,Pflugerville,Travis,TX,30.442717,-97.561982,Detached,1732,2987,436990,563990,ACTIVE PROJECT,6875,6.45,25.33333333,870,539,331,78660,NULL,NULL,55,9,251,201905
Sorento,D.R. Horton,Pflugerville,Travis,TX,30.442717,-97.561982,Detached,1732,2987,436990,563990,ACTIVE PROJECT,6875,6.45,25.33333333,870,539,331,78660,NULL,NULL,55,8,243,201906
Sorento,D.R. Horton,Pflugerville,Travis,TX,30.442717,-97.561982,Detached,1732,2987,436990,563990,ACTIVE PROJECT,6875,6.45,25.33333333,870,539,331,78660,NULL,NULL,55,10,233,201907
Sorento,D.R. Horton,Pflugerville,Travis,TX,30.442717,-97.561982,Detached,1732,2987,436990,563990,ACTIVE PROJECT,6875,6.45,25.33333333,870,539,331,78660,NULL,NULL,55,9,224,201908
Sorento,D.R. Horton,Pflugerville,Travis,TX,30.442717,-97.561982,Detached,1732,2987,436990,563990,ACTIVE PROJECT,6875,6.45,25.33333333,870,539,331,78660,NULL,NULL,55,8,216,201909
Sorento,D.R. Horton,Pflugerville,Travis,TX,30.442717,-97.561982,Detached,1732,2987,436990,563990,ACTIVE PROJECT,6875,6.45,25.33333333,870,539,331,78660,NULL,NULL,55,7,209,201910
Sorento,D.R. Horton,Pflugerville,Travis,TX,30.442717,-97.561982,Detached,1732,2987,436990,563990,ACTIVE PROJECT,6875,6.45,25.33333333,870,539,331,78660,NULL,NULL,55,8,201,201911
Sorento,D.R. Horton,Pflugerville,Travis,TX,30.442717,-97.561982,Detached,1732,2987,436990,563990,ACTIVE PROJECT,6875,6.45,25.33333333,870,539,331,78660,NULL,NULL,55,7,194,201912
Sorento,D.R. Horton,Pflugerville,Travis,TX,30.442717,-97.561982,Detached,1732,2987,436990,563990,ACTIVE PROJECT,6875,6.45,25.33333333,870,539,331,78660,NULL,NULL,55,11,183,202001
Sorento,D.R. Horton,Pflugerville,Travis,TX,30.442717,-97.561982,Detached,1732,2987,436990,563990,ACTIVE PROJECT,6875,6.45,25.33333333,870,539,331,78660,NULL,NULL,55,22,161,202002
Sorento,D.R. Horton,Pflugerville,Travis,TX,30.442717,-97.561982,Detached,1732,2987,436990,563990,ACTIVE PROJECT,6875,6.45,25.33333333,870,539,331,78660,NULL,NULL,55,7,154,202003
Sorento,D.R. Horton,Pflugerville,Travis,TX,30.442717,-97.561982,Detached,1732,2987,436990,563990,ACTIVE PROJECT,6875,6.45,25.33333333,870,539,331,78660,NULL,NULL,55,4,150,202004
Sorento,D.R. Horton,Pflugerville,Travis,TX,30.442717,-97.561982,Detached,1732,2987,436990,563990,ACTIVE PROJECT,6875,6.45,25.33333333,870,539,331,78660,NULL,NULL,55,2,196,202005
Sorento,D.R. Horton,Pflugerville,Travis,TX,30.442717,-97.561982,Detached,1732,2987,436990,563990,ACTIVE PROJECT,6875,6.45,25.33333333,870,539,331,78660,NULL,NULL,55,3,193,202006
Sorento,D.R. Horton,Pflugerville,Travis,TX,30.442717,-97.561982,Detached,1732,2987,436990,563990,ACTIVE PROJECT,6875,6.45,25.33333333,870,539,331,78660,NULL,NULL,55,9,184,202007
Sorento,D.R. Horton,Pflugerville,Travis,TX,30.442717,-97.561982,Detached,1732,2987,436990,563990,ACTIVE PROJECT,6875,6.45,25.33333333,870,539,331,78660,NULL,NULL,55,5,179,202008
Sorento,D.R. Horton,Pflugerville,Travis,TX,30.442717,-97.561982,Detached,1732,2987,436990,563990,ACTIVE PROJECT,6875,6.45,25.33333333,870,539,331,78660,NULL,NULL,55,0,179,202009
Sorento,D.R. Horton,Pflugerville,Travis,TX,30.442717,-97.561982,Detached,1732,2987,436990,563990,ACTIVE PROJECT,6875,6.45,25.33333333,870,539,331,78660,NULL,NULL,55,5,174,202010
Sorento,D.R. Horton,Pflugerville,Travis,TX,30.442717,-97.561982,Detached,1732,2987,436990,563990,ACTIVE PROJECT,6875,6.45,25.33333333,870,539,331,78660,NULL,NULL,55,8,166,202011
Sorento,D.R. Horton,Pflugerville,Travis,TX,30.442717,-97.561982,Detached,1732,2987,436990,563990,ACTIVE PROJECT,6875,6.45,25.33333333,870,539,331,78660,NULL,NULL,55,7,159,202012
Sorento,D.R. Horton,Pflugerville,Travis,TX,30.442717,-97.561982,Detached,1732,2987,436990,563990,ACTIVE PROJECT,6875,6.45,25.33333333,870,539,331,78660,NULL,NULL,55,15,144,202101
Sorento,D.R. Horton,Pflugerville,Travis,TX,30.442717,-97.561982,Detached,1732,2987,436990,563990,ACTIVE PROJECT,6875,6.45,25.33333333,870,539,331,78660,NULL,NULL,55,29,115,202102
