PERIOD,CBSA_Code,CBSA,Deliveries_Ann,Starts_Ann,Completions_Ann,Observed_Closings_Ann,Deliveries_Qtr,Starts_Qtr,Completions_Qtr,Observed_Closings_Qtr,VDL_Inventory,UC_Inventory,Model_Inventory,Finished_Vacant_Inventory,Vacant_Lot_Inventory_Fut_VDL,Housing_Inventory_UC_Mod_FinVac,Units_Occupied,Total_Units,MOS_VDL_Supply,MOS_UC_Supply,MOS_Model_Supply,MOS_Finished_Supply,MOS_HousingSupply_UC_Mod_FinVac,Future_Inventory
2010,14500,"Boulder, CO",319.3175422,939.952671,1187.052691,1762.715785,-4.86452649,281.7631745,268.6294523,391.1922296,7683.467794,506.0782058,153.591218,875.5042946,21861.37688,1545.057046,42320.41666,65739.99999,70578.18849,4525.611426,1396.852073,14180.84578,20103.32749,14177
2010,15680,"California-Lexington Park, MD",1034.962686,1656.933333,1691.818717,1815.834187,254.9999999,408.9999994,409.7558296,429.7558295,3052.999999,486.8380946,64.65482208,200.8857631,19556,752.8380945,16073,36382,5903.346709,704.9802546,92.94606549,396.3310498,1194.441281,16503
2010,20500,"Durham-Chapel Hill, NC",3503.975145,5826.827992,6480.824933,6794.287062,994.6391108,1472.279164,1642.45132,1637.37287,28401.99999,1990.529161,371.059629,2519.371476,87155.99999,4890.943906,128301,220358.7867,619679.3813,7367.168239,532.701514,10882.98747,18783.27955,58754
2010,24540,"Greeley, CO",708.1603454,2707.043312,2798.057631,3332.595768,226.1603451,657.2483479,714.2982957,787.1886584,25256,764.2568308,97.82575733,695.4475375,247457,1565.492887,102715,351741,267823.4686,3967.192,103.5880333,2802.47418,6873.463238,222201
2010,26140,"Homosassa Springs, FL",-123,291.9999996,333.9999995,372.9999995,-73.99999997,105.9999998,107.9999997,135.9999997,30880,58.99999976,59.99999982,57.99999992,35486,176.9999997,35453,71116,89278.04991,381.1045053,569.7450033,511.8004394,1462.649948,4606
2010,26900,"Indianapolis-Carmel-Anderson, IN",4868.814176,12877.98864,13079.79473,13764.9069,1518.159976,3127.692741,3207.643593,3385.401301,67396.7668,3601.783844,1279.184717,3563.779021,166291.7668,8471.208043,387799.6696,562596,627451.3917,13778.12458,2993.613265,21293.44357,38065.76725,98895
2010,32900,"Merced, CA",-350.9999999,243.9999998,304.9999997,741.8571422,-114,77.99999995,89.99999991,130.9285712,20475,153.9999999,106.9285712,192.9999997,67757,453.9285711,49961,118172,118825.5187,623.8511904,457.010837,1023.782532,2104.64456,47282
2010,37100,"Oxnard-Thousand Oaks-Ventura, CA",257.0000001,1459.999999,1611.939972,1968.871625,37.00000001,312.9347824,344.2888317,392.7510681,3049,581.9347823,271.8737493,590.5577959,31728,1444.921568,56741.75532,89914.75532,3650.158411,1003.487125,1119.165244,2147.628228,4270.437589,28678.925
2010,41500,"Salinas, CA",28.99999994,195.9142855,225.9714285,455.8218257,2.99999998,44.88095229,51.99999992,87.50434952,4995.999999,85.9999999,47.99999988,110.7232895,43371,244.7661466,22829.6,66445.6,11416.88828,199.2984549,93.31237665,868.3857809,1161.135989,38375
2010,10620,"Albemarle, NC",248,158.9999998,144.9999999,192.9999999,59,38.99999993,33.99999991,39.9999999,2440,84.99999981,6.86666661,38.99999992,2765,130.9999998,2853,5749,13612.71616,343.3292679,14.95860415,147.7746656,506.0625378,325
